ELMIdentifier	PFAM	ELM_Tg	InterPro_Tg	InterPro_Tg_Prot	ELM_Hs	Instances	Instances_in_PDB	ELM_Dom_Nu	modification	phosphorylation	extracellular
CLV_C14_Caspase3-7	PF00656	0	1	3	1	41	0	1	0	0	0
CLV_MEL_PAP_1	PF00089	0	0	0	0	12	0	1	0	0	1
CLV_NRD_NRD_1	PF00675	0	1	9	1	2	0	1	0	0	1
CLV_PCSK_FUR_1	PF00082	0	1	12	1	13	0	1	0	0	0
CLV_PCSK_KEX2_1	PF00082	0	1	12	0	1	0	1	0	0	1
CLV_PCSK_PC1ET2_1	PF00082	0	1	12	1	6	0	1	0	0	1
CLV_PCSK_PC7_1	PF00082	0	1	12	1	1	0	1	0	0	1
CLV_PCSK_SKI1_1	PF00082	0	1	12	1	2	0	1	0	0	1
CLV_Separin_Fungi	PF03568	0	1	1	0	4	0	1	0	0	0
CLV_Separin_Metazoa	PF03568	0	1	1	1	5	0	1	0	0	0
CLV_TASPASE1	PF01112	1	0	0	1	2	0	1	0	0	0
DEG_APCC_DBOX_1	PF00400	1	1	75	1	11	0	1	0	0	0
DEG_APCC_KENBOX_2	PF00400	1	1	75	1	16	1	1	0	0	0
DEG_APCC_TPR_1	SM00028	1	1	37	1	22	0	1	0	0	0
DEG_Cend_DCAF12_1	IPR001680	0	1	109	1	6	1	1	0	0	0
DEG_Cend_FEM1AC_1	IPR002110	0	1	25	1	0	0	1	0	0	0
DEG_Cend_FEM1B_2	IPR002110	0	1	25	1	2	2	1	0	0	0
DEG_Cend_KLHDC2_1	IPR015915	0	1	17	1	2	2	1	0	0	0
DEG_Cend_TRIM7_1	IPR003877	0	1	5	1	6	5	1	0	0	0
DEG_COP1_1	PF00400	0	1	75	1	12	1	1	0	0	0
DEG_CRBN_cyclicCter_1	IPR034750	1	0	0	1	0	0	1	0	0	0
DEG_CRL4_CDT2_1	PF02747	1	1	2	1	6	0	2	0	0	0
DEG_CRL4_CDT2_2	PF02747	1	1	2	0	1	0	2	0	0	0
DEG_Kelch_actinfilin_1	PF01344	1	1	5	1	1	0	1	0	0	0
DEG_Kelch_Keap1_1	PF01344	0	1	5	1	13	4	1	0	0	0
DEG_Kelch_Keap1_2	PF01344	0	1	5	1	1	1	1	0	0	0
DEG_Kelch_KLHL12_1	PF01344	0	1	5	1	11	2	2	0	0	0
DEG_Kelch_KLHL3_1	PF01344	0	1	5	1	4	0	1	0	0	0
DEG_MDM2_SWIB_1	PF02201	0	1	2	1	5	2	1	0	0	0
DEG_Nend_Nbox_1	PF02207	1	1	2	1	0	0	1	0	0	0
DEG_Nend_UBRbox_1	PF02207	1	1	2	1	0	0	1	0	0	0
DEG_Nend_UBRbox_2	PF02207	1	1	2	1	0	0	1	0	0	0
DEG_Nend_UBRbox_3	PF02207	1	1	2	1	0	0	1	0	0	0
DEG_Nend_UBRbox_4	PF02207	1	1	2	1	8	0	1	0	0	0
DEG_ODPH_VHL_1	PF01847	0	0	0	1	8	1	1	0	0	0
DEG_SCF_COI1_1	SM00370	0	0	0	0	9	1	0	0	0	0
DEG_SCF_FBW7_1	PF00400	1	1	75	1	6	2	1	1	1	0
DEG_SCF_FBW7_2	PF00400	1	1	75	1	2	0	1	1	1	0
DEG_SCF_FBXO31_1	PF12014	1	0	0	1	3	1	1	0	0	0
DEG_SCF_SKP2-CKS1_1	PF00560	0	1	1	1	3	1	1	0	0	0
DEG_SCF_TIR1_1	SM00370	0	0	0	0	24	1	0	0	0	0
DEG_SCF_TRCP1_1	PF00400	0	1	75	1	19	1	1	1	1	0
DEG_SIAH_1	PF03145	0	0	0	1	9	2	1	0	0	0
DEG_SPOP_SBC_1	PF00917	1	0	0	1	8	6	1	0	0	0
DOC_AGCK_PIF_1	PF00069	1	1	128	1	10	1	1	0	0	0
DOC_AGCK_PIF_2	PF00069	1	1	128	1	5	0	1	0	0	0
DOC_AGCK_PIF_3	PF00069	1	1	128	1	5	1	1	0	0	0
DOC_ANK_TNKS_1	PF00023	0	1	3	1	17	5	1	0	0	0
DOC_CDC14_PxL_1	PF14671	0	1	1	0	10	2	1	0	0	0
DOC_CKS1_1	PF01111	1	1	4	1	8	1	1	1	1	0
